power_density,thermal_cond_si,boundary_temp,metal_cond_Cu,metal_cond_W,die_thickness,block_power_map,tim_hs_conductance,x,y,hotspot_cx,hotspot_cy,sigma_spot,r_sq,temperature
4.127,165.05,300.06,396.06,165.13,0.319,6.917,0.7863,0.3461,0.9412,0.6509,0.6588,0.1648,0.172708,307.919
2.817,115.42,304.19,354.46,151.44,0.396,14.025,0.5573,0.9756,0.8495,0.5581,0.1362,0.096,0.683133,314.246
2.097,165.18,305.17,387.86,153.35,0.361,13.401,0.9531,0.641,0.8437,0.2905,0.3478,0.1424,0.368735,309.636
3.012,151.56,309.49,393.84,174.09,0.464,13.46,0.8104,0.8225,0.5123,0.186,0.3415,0.152,0.434215,318.372
3.295,101.32,296.94,366.66,164.81,0.469,4.761,0.7253,0.1325,0.7894,0.2966,0.3571,0.1842,0.213872,312.336
3.967,116.79,321.53,360.98,152.0,0.344,12.46,1.1617,0.862,0.1794,0.8315,0.1851,0.173,0.000964,351.808
5.588,128.91,324.43,387.42,163.21,0.557,10.249,0.4957,0.9228,0.5732,0.2806,0.1328,0.1209,0.606373,348.912
2.912,140.8,299.93,354.54,161.95,0.358,13.459,1.0727,0.4871,0.9838,0.4454,0.2856,0.1564,0.489332,306.032
1.357,149.09,294.93,397.04,157.38,0.337,9.75,0.9545,0.6063,0.291,0.4527,0.5669,0.0656,0.099706,297.634
3.613,114.71,318.89,357.8,161.16,0.317,5.94,0.4811,0.7648,0.7944,0.8395,0.1024,0.1619,0.484348,329.312
6.989,158.57,326.97,372.88,155.65,0.765,9.699,0.4664,0.1748,0.4905,0.192,0.8101,0.2454,0.102446,370.006
4.488,159.2,291.41,399.14,163.47,0.498,5.689,0.8198,0.5026,0.0398,0.4828,0.837,0.163,0.635925,304.746
7.753,144.45,290.58,399.41,162.26,0.442,0.536,0.372,0.3987,0.763,0.7476,0.5911,0.224,0.151292,315.777
4.525,164.48,297.34,388.8,168.23,0.541,12.343,0.7327,0.1464,0.1686,0.1494,0.1411,0.2239,0.000764,334.284
2.931,156.91,317.39,391.96,178.26,0.379,12.816,0.6035,0.3675,0.6315,0.6966,0.8837,0.2411,0.171889,328.715
2.353,115.51,328.59,398.36,155.56,0.503,11.347,1.0656,0.0682,0.0857,0.1752,0.5952,0.0637,0.271038,338.64
5.862,155.91,320.02,396.37,162.52,0.395,3.799,0.8371,0.0258,0.9469,0.4619,0.5245,0.1783,0.368589,335.07
4.755,166.72,312.92,381.11,166.87,0.452,2.47,0.8762,0.1352,0.2917,0.2264,0.4816,0.2336,0.044365,329.388
5.228,109.63,318.02,386.73,166.41,0.762,2.964,0.5941,0.9631,0.2265,0.4119,0.205,0.208,0.30434,353.481
6.286,168.51,299.23,379.69,169.84,0.374,7.764,0.4949,0.5495,0.1291,0.1298,0.7381,0.1396,0.546944,313.951
6.081,101.75,317.54,375.32,158.04,0.537,4.332,0.7832,0.9658,0.946,0.7737,0.4965,0.1039,0.238975,350.587
1.304,136.55,302.86,394.04,169.04,0.63,13.236,1.1503,0.4325,0.7119,0.207,0.1159,0.1192,0.406,309.237
6.618,154.17,298.9,386.9,156.04,0.759,8.393,0.8356,0.3118,0.7417,0.25,0.2221,0.0745,0.27378,330.704
4.729,155.33,299.46,392.99,153.76,0.762,7.027,0.3175,0.5061,0.4994,0.4666,0.329,0.092,0.030591,325.959
3.742,151.43,316.71,354.8,174.95,0.424,13.138,1.1674,0.4395,0.4747,0.1156,0.8316,0.1926,0.232286,329.392
4.763,137.05,320.69,378.82,164.21,0.772,1.676,1.0504,0.1057,0.11,0.8369,0.4677,0.0847,0.662539,347.888
5.287,145.57,313.27,366.48,161.92,0.466,13.129,1.0952,0.6408,0.5598,0.4308,0.8525,0.2165,0.129777,335.308
2.047,149.0,292.55,375.67,177.86,0.747,12.131,0.7073,0.216,0.2469,0.5238,0.3199,0.1009,0.100052,304.4
3.922,134.62,291.52,380.65,171.29,0.347,10.463,1.1067,0.6196,0.9771,0.7956,0.8873,0.1315,0.039037,305.858
3.349,141.7,298.69,392.29,170.31,0.399,2.109,0.5332,0.6502,0.7966,0.5609,0.8641,0.1099,0.012548,309.336
3.453,159.25,301.46,351.59,155.83,0.339,1.26,1.0214,0.152,0.413,0.1638,0.6694,0.1154,0.065902,309.485
1.639,121.9,306.19,358.2,156.28,0.45,2.909,0.8513,0.0613,0.1513,0.7425,0.7054,0.2123,0.770905,311.876
2.119,136.62,293.04,396.07,164.49,0.737,4.419,1.1573,0.7808,0.7853,0.8327,0.1194,0.1944,0.446143,302.948
2.133,100.59,319.01,398.36,169.57,0.38,9.435,0.5667,0.4598,0.1221,0.7466,0.284,0.1274,0.108465,327.437
3.613,148.12,318.46,352.77,161.86,0.412,1.665,0.4112,0.0582,0.1893,0.2521,0.2559,0.1219,0.04204,329.063
7.261,113.68,303.87,366.59,151.93,0.408,3.154,0.9453,0.9949,0.2115,0.4849,0.8675,0.1842,0.690428,331.081
2.442,133.67,312.52,350.49,170.49,0.437,3.406,1.1875,0.0578,0.5569,0.3396,0.427,0.1881,0.09628,321.299
3.913,114.71,294.04,387.87,173.21,0.309,10.225,0.4312,0.695,0.7871,0.5784,0.5813,0.0592,0.055909,305.605
3.181,101.65,306.61,384.1,178.33,0.512,5.519,0.3916,0.9837,0.3143,0.7698,0.3158,0.0932,0.045763,323.861
6.512,133.83,324.3,378.24,162.26,0.788,4.491,0.6876,0.2392,0.0847,0.4201,0.3037,0.1664,0.080705,364.639
1.351,129.74,316.42,384.58,157.74,0.524,0.922,0.9482,0.1422,0.4645,0.5739,0.4352,0.1676,0.187142,321.072
2.376,129.76,294.16,376.89,177.77,0.707,1.868,0.8369,0.1214,0.7481,0.1082,0.3542,0.0887,0.155378,307.836
2.474,114.62,323.9,361.94,171.45,0.586,8.471,1.1461,0.3033,0.2217,0.3806,0.7012,0.0632,0.235909,336.168
7.951,166.3,317.23,387.72,151.92,0.307,9.684,1.0283,0.101,0.2199,0.5968,0.5978,0.246,0.388547,331.896
4.995,100.25,308.12,389.16,167.4,0.593,11.263,0.8153,0.6922,0.9472,0.8924,0.655,0.0753,0.125487,337.331
1.973,162.41,317.68,392.71,150.86,0.773,7.714,0.625,0.0623,0.9542,0.3226,0.5319,0.2244,0.246068,329.426
2.905,151.58,296.91,397.7,156.8,0.577,4.401,1.0518,0.5094,0.9905,0.2398,0.8223,0.12,0.100994,307.932
2.175,112.05,312.02,387.38,152.13,0.564,4.74,0.7395,0.9967,0.8077,0.8165,0.1516,0.2205,0.462812,323.098
1.872,133.05,314.72,352.73,156.15,0.635,9.937,1.0876,0.814,0.1882,0.5501,0.6998,0.1751,0.331389,323.903
6.58,169.22,327.11,351.04,164.7,0.735,6.683,0.8405,0.6152,0.212,0.8966,0.292,0.0599,0.085583,354.476
4.47,145.06,292.68,386.99,158.97,0.582,2.796,0.9364,0.3063,0.3402,0.3033,0.5985,0.2323,0.06672,314.361
5.418,108.92,304.99,352.8,152.64,0.503,0.556,0.3421,0.6239,0.3181,0.2566,0.8406,0.2041,0.407876,329.927
3.319,132.03,327.47,365.8,164.46,0.319,4.27,1.1913,0.527,0.9565,0.3846,0.3486,0.1428,0.389823,336.848
4.876,132.77,298.69,356.81,171.25,0.356,11.456,0.9791,0.4261,0.7891,0.5623,0.8712,0.1689,0.025293,321.859
2.803,156.16,322.53,398.44,151.59,0.624,10.139,0.8238,0.1307,0.724,0.1611,0.241,0.1157,0.234225,334.024
3.156,164.13,290.06,365.82,176.47,0.609,1.915,0.779,0.8866,0.186,0.4111,0.8642,0.0791,0.686098,301.887
5.566,105.76,291.04,352.76,169.59,0.42,6.94,0.8395,0.4498,0.9095,0.1525,0.1332,0.0615,0.690968,311.841
2.052,121.98,303.1,397.48,165.58,0.659,2.597,0.3413,0.1946,0.8279,0.6262,0.3628,0.1582,0.402591,314.108
5.321,120.89,320.74,380.44,161.89,0.44,7.358,0.6282,0.3678,0.1636,0.3753,0.6588,0.0859,0.245206,340.043
6.966,169.72,294.17,351.81,161.8,0.452,2.105,0.3805,0.4141,0.8712,0.8765,0.7755,0.121,0.222964,312.456
1.843,139.15,305.31,391.67,160.07,0.331,10.352,0.4579,0.8275,0.2722,0.1825,0.2337,0.1105,0.417525,309.729
7.282,161.59,295.26,357.63,153.47,0.575,8.968,0.5997,0.7336,0.0809,0.8155,0.8474,0.125,0.594331,320.738
1.556,129.82,298.94,390.12,152.38,0.444,4.256,0.9054,0.7693,0.6568,0.121,0.2253,0.084,0.606511,304.111
3.442,150.59,310.12,380.14,159.26,0.709,14.89,1.1376,0.011,0.6538,0.6239,0.7947,0.2066,0.39553,326.803
5.274,120.06,302.77,358.86,170.01,0.701,9.035,1.1884,0.4162,0.0949,0.8583,0.8078,0.1968,0.70374,334.072
4.916,163.83,298.48,387.63,158.65,0.364,4.397,0.976,0.4813,0.3189,0.6659,0.6902,0.2138,0.171974,310.361
1.675,131.86,305.74,372.73,174.37,0.38,5.687,0.5419,0.0192,0.9928,0.1245,0.8127,0.1475,0.043513,313.755
6.592,156.26,318.04,381.91,161.41,0.46,13.784,0.5901,0.2598,0.6784,0.6257,0.1665,0.1907,0.395939,338.665
7.812,117.91,294.78,393.48,168.94,0.59,3.446,0.5764,0.7603,0.7301,0.3308,0.8404,0.0769,0.196641,334.522
2.269,148.55,309.18,363.01,162.96,0.471,3.455,1.0547,0.1371,0.2129,0.6837,0.471,0.168,0.365325,315.91
7.266,128.36,300.99,368.3,164.93,0.475,8.773,0.9971,0.5353,0.0788,0.4616,0.3364,0.2368,0.071774,336.232
4.898,102.2,305.14,399.86,157.5,0.37,5.316,0.3568,0.2152,0.2769,0.5948,0.1049,0.1113,0.173648,321.511
7.552,128.91,322.86,375.41,165.42,0.468,4.911,0.7452,0.0121,0.2489,0.119,0.5563,0.1726,0.105934,352.894
2.233,138.5,327.19,377.93,153.32,0.535,6.449,0.8776,0.2412,0.2345,0.3242,0.1499,0.0941,0.014052,341.201
6.544,110.62,299.72,364.27,161.6,0.792,12.551,0.314,0.9759,0.1928,0.3415,0.1098,0.1097,0.409276,346.102
1.418,112.87,315.2,370.8,163.45,0.719,12.695,0.8342,0.8015,0.5748,0.4581,0.434,0.2406,0.137749,336.147
7.182,132.54,317.07,375.08,171.12,0.696,10.155,1.1473,0.9596,0.3281,0.8045,0.1486,0.0678,0.056256,355.488
5.719,123.99,323.7,362.92,162.01,0.58,8.871,0.3426,0.4879,0.8203,0.3953,0.7772,0.2042,0.01042,369.047
3.592,130.85,325.96,361.91,169.96,0.48,0.727,0.454,0.1097,0.1839,0.6629,0.1367,0.2249,0.308213,338.213
2.333,132.26,308.72,380.02,155.24,0.728,8.694,0.393,0.548,0.4646,0.3854,0.5498,0.1697,0.033671,333.812
6.716,109.81,329.3,359.18,150.76,0.474,14.334,0.6324,0.4544,0.0137,0.2608,0.5226,0.0534,0.296531,359.486
5.223,112.68,328.83,377.67,165.18,0.596,12.641,0.6326,0.8444,0.4817,0.4703,0.5493,0.2017,0.144481,361.6
3.523,159.37,310.26,385.31,164.22,0.429,2.594,1.1601,0.0981,0.0558,0.2949,0.2057,0.1298,0.061223,320.016
4.107,111.39,311.68,359.91,170.09,0.688,14.623,1.0204,0.4882,0.9777,0.1422,0.8057,0.2035,0.14934,344.954
6.786,146.61,316.71,387.29,159.41,0.557,3.641,0.8734,0.15,0.7906,0.2714,0.6219,0.0756,0.043175,341.765
3.372,129.3,304.95,367.98,150.9,0.748,2.295,0.878,0.3247,0.4901,0.1661,0.726,0.1737,0.080797,325.643
1.627,167.78,316.48,399.63,171.71,0.584,4.69,0.8999,0.7374,0.0866,0.1379,0.7781,0.1246,0.837509,321.438
7.379,104.63,310.57,398.95,178.27,0.382,2.547,0.4538,0.476,0.5924,0.6909,0.8157,0.0527,0.096004,338.551
3.711,158.13,291.42,389.93,161.83,0.796,3.758,0.6188,0.3759,0.7588,0.6561,0.6781,0.1562,0.085022,311.927
3.439,134.4,324.11,367.14,168.33,0.551,4.978,0.8819,0.3945,0.1907,0.2228,0.6811,0.1685,0.269988,338.304
2.431,100.37,327.62,396.86,166.34,0.425,9.066,0.3301,0.4594,0.5682,0.1326,0.2194,0.2352,0.228466,339.784
7.282,118.46,291.05,399.94,166.98,0.465,9.4,0.7409,0.785,0.8142,0.119,0.2355,0.2345,0.778451,321.716
2.523,128.54,321.57,373.11,176.02,0.361,8.249,1.053,0.8921,0.7682,0.6852,0.7028,0.1898,0.047097,334.099
5.457,121.99,305.43,380.73,172.09,0.337,4.823,0.7906,0.9553,0.803,0.4387,0.2759,0.1257,0.544769,319.505
7.165,125.37,313.43,350.3,173.09,0.525,14.324,1.0787,0.7869,0.8793,0.4437,0.5423,0.0559,0.231364,343.089
1.244,164.17,310.0,352.18,152.7,0.776,4.804,0.9718,0.3154,0.9377,0.151,0.3172,0.1933,0.411995,315.495
6.802,125.27,312.05,375.03,154.4,0.361,6.315,0.785,0.6881,0.4055,0.741,0.3043,0.1297,0.013032,337.789
3.874,129.32,309.81,380.47,169.9,0.751,6.623,0.6391,0.4376,0.5688,0.3334,0.4607,0.1117,0.022542,340.87
5.606,153.28,324.14,365.62,166.21,0.698,0.826,0.8902,0.2547,0.7907,0.4359,0.2322,0.1183,0.344771,351.164
3.607,155.57,317.34,354.96,173.23,0.703,6.717,0.7477,0.8409,0.6971,0.4536,0.7768,0.0657,0.156337,334.882
5.869,105.89,306.51,389.11,152.79,0.655,5.406,1.1948,0.0384,0.9955,0.8056,0.2184,0.0881,1.192515,341.223
2.78,149.28,317.54,370.94,166.99,0.596,1.525,0.8494,0.9018,0.0137,0.7666,0.7228,0.1922,0.521149,328.724
1.154,133.78,328.6,382.44,164.58,0.361,12.262,0.5266,0.4615,0.3551,0.3629,0.4752,0.1199,0.024142,339.057
7.635,109.37,293.21,382.51,175.64,0.588,10.82,1.1667,0.6372,0.281,0.1588,0.2653,0.0606,0.2291,334.249
1.115,118.53,305.52,377.34,155.61,0.476,4.61,0.5583,0.6594,0.2623,0.5458,0.374,0.1093,0.025377,313.462
6.769,103.15,324.82,358.92,160.46,0.353,4.279,1.1017,0.8951,0.2225,0.3194,0.4412,0.2272,0.379295,349.184
2.184,125.22,319.56,380.8,154.51,0.702,13.619,0.743,0.6367,0.7091,0.3471,0.3229,0.2292,0.233015,335.891
3.746,117.88,327.4,366.1,163.55,0.573,3.242,0.9344,0.6139,0.0848,0.806,0.7478,0.2009,0.476507,344.982
6.757,126.75,291.59,390.96,176.44,0.672,13.169,0.4815,0.0667,0.7416,0.6891,0.3826,0.0675,0.516286,327.619
2.442,140.62,324.51,359.66,170.11,0.54,1.628,0.8035,0.5184,0.6934,0.4118,0.4925,0.2343,0.051711,333.65
7.06,151.26,321.67,364.56,172.33,0.576,12.673,0.481,0.1502,0.2508,0.6178,0.123,0.2279,0.235035,352.06
4.484,142.37,322.6,372.02,152.8,0.656,8.354,0.5138,0.7374,0.2528,0.2531,0.2802,0.0779,0.235282,342.967
3.563,147.49,313.89,387.0,163.56,0.423,11.75,0.4456,0.5122,0.6289,0.634,0.1653,0.1332,0.229751,324.945
5.637,160.59,292.08,386.04,175.16,0.724,1.848,0.7044,0.6802,0.7622,0.1501,0.8269,0.1531,0.28522,317.582
3.39,161.17,311.57,366.86,175.12,0.51,6.591,0.7632,0.0417,0.8765,0.6253,0.789,0.0503,0.348267,322.267
3.431,160.25,306.31,375.54,179.64,0.654,7.03,0.5364,0.0848,0.8521,0.8093,0.3246,0.1085,0.803221,320.904
6.135,110.72,311.08,361.71,165.78,0.463,7.972,0.8522,0.7163,0.9649,0.5644,0.4903,0.1054,0.24833,337.434
3.169,117.57,319.61,388.52,150.06,0.651,9.603,0.5439,0.0721,0.5814,0.3723,0.3598,0.157,0.139256,338.265
2.405,135.16,313.84,359.84,176.97,0.322,6.146,0.7693,0.0713,0.9087,0.5467,0.7214,0.0514,0.2611,319.343
6.654,125.11,301.7,390.97,178.69,0.765,6.988,0.9172,0.0121,0.8085,0.365,0.2857,0.1399,0.3978,342.46
6.638,109.22,313.98,396.84,177.83,0.693,5.869,0.354,0.9565,0.8947,0.3332,0.7497,0.116,0.409463,356.831
4.483,120.14,293.33,399.58,173.16,0.632,10.63,1.0741,0.7375,0.0116,0.1039,0.2439,0.1614,0.455375,316.615
4.687,168.28,290.21,392.85,156.36,0.462,13.672,0.622,0.3533,0.9659,0.3014,0.3333,0.1247,0.402938,302.498
5.873,124.28,306.06,361.08,154.17,0.721,2.158,0.7652,0.2965,0.4735,0.8151,0.8109,0.0848,0.38276,342.098
4.565,129.32,320.29,370.83,171.03,0.684,4.669,0.7012,0.3497,0.7982,0.2433,0.3287,0.203,0.23169,344.72
3.919,100.45,322.91,354.44,154.21,0.527,3.686,1.1547,0.7747,0.1272,0.6067,0.8287,0.0716,0.52026,343.359
7.964,150.36,311.99,358.23,178.6,0.399,14.121,0.4708,0.6614,0.3959,0.5909,0.2083,0.1631,0.040167,342.748
2.033,128.95,324.72,352.48,163.37,0.388,9.12,0.8642,0.1852,0.2715,0.2806,0.6054,0.0819,0.120605,330.889
5.149,107.22,295.04,382.05,150.92,0.544,2.572,1.0457,0.1741,0.2917,0.7174,0.3229,0.2101,0.296119,320.396
7.201,167.8,328.56,376.66,154.52,0.692,6.27,0.6857,0.0984,0.1233,0.4514,0.3566,0.1444,0.179102,359.66
5.811,154.42,326.87,395.85,158.71,0.657,7.369,0.6017,0.6603,0.8058,0.7378,0.7669,0.1889,0.007515,366.392
7.166,150.83,313.97,373.15,171.11,0.547,9.533,0.4011,0.7644,0.0092,0.1099,0.5582,0.1021,0.729784,341.375
3.354,167.05,292.35,382.12,172.12,0.402,3.622,0.9487,0.265,0.3125,0.2192,0.2749,0.0666,0.00352,302.319
2.904,128.52,308.17,370.08,156.39,0.42,7.779,1.0075,0.0209,0.1744,0.4004,0.8564,0.1203,0.60908,317.242
6.959,150.3,297.17,391.47,169.46,0.329,12.122,0.5822,0.0822,0.589,0.48,0.4239,0.1353,0.185546,313.572
3.759,114.43,315.14,396.32,150.95,0.388,10.07,0.9983,0.9679,0.2543,0.5371,0.8035,0.2014,0.487305,326.591
5.968,148.8,297.6,371.59,153.09,0.306,2.011,0.3898,0.2954,0.259,0.731,0.8295,0.1042,0.515175,309.261
2.034,100.99,309.27,354.14,166.05,0.637,13.728,0.6874,0.7692,0.4883,0.8224,0.4347,0.2332,0.005707,364.872
6.291,108.84,298.23,358.18,171.11,0.594,5.409,0.5491,0.6247,0.6527,0.3538,0.4309,0.2343,0.12257,337.641
4.843,129.77,297.27,386.03,177.43,0.794,6.656,0.5479,0.3819,0.1213,0.8095,0.5422,0.1179,0.36002,326.991
2.88,100.85,299.92,366.26,163.13,0.681,10.539,1.1374,0.2057,0.1755,0.3131,0.6095,0.0961,0.199897,318.775
4.462,132.34,291.17,389.27,153.6,0.423,7.188,0.9987,0.1214,0.2472,0.1573,0.1436,0.203,0.012012,316.487
5.879,136.6,318.64,387.49,177.87,0.654,9.026,0.9896,0.615,0.9737,0.5639,0.1541,0.1453,0.674374,347.522
1.083,143.51,302.27,384.72,163.12,0.306,7.427,0.7439,0.7746,0.3972,0.6329,0.3004,0.1491,0.029442,308.778
5.462,107.03,317.92,390.71,164.92,0.793,4.963,0.8595,0.6439,0.599,0.3363,0.4455,0.2081,0.118163,364.421
4.791,112.67,316.14,387.83,175.63,0.607,6.894,1.0074,0.5303,0.2415,0.2357,0.6239,0.1359,0.233001,340.882
2.542,142.93,292.64,381.63,167.57,0.36,5.018,0.5399,0.042,0.4905,0.1775,0.257,0.1499,0.072897,300.593
6.271,146.07,302.48,350.21,159.04,0.549,7.005,0.5622,0.9685,0.0741,0.4528,0.3442,0.2049,0.338929,325.845
3.124,101.81,312.67,375.78,166.22,0.77,3.436,1.0952,0.7987,0.0347,0.4272,0.4261,0.096,0.291232,338.193
2.938,137.83,326.74,379.76,168.75,0.725,1.38,0.5061,0.2928,0.4687,0.328,0.3236,0.2345,0.022304,345.359
4.299,154.95,306.05,398.03,176.69,0.449,10.632,0.912,0.98,0.3987,0.2767,0.4082,0.1735,0.494661,317.337
5.733,104.84,310.19,382.52,157.05,0.498,2.326,1.127,0.6019,0.1369,0.1312,0.2021,0.1816,0.225751,337.432
7.502,128.92,320.01,378.77,166.78,0.727,12.423,1.157,0.5824,0.6876,0.6512,0.1122,0.2417,0.33586,363.465
1.99,122.86,322.13,377.06,177.61,0.75,5.777,0.5729,0.7481,0.9929,0.4126,0.2577,0.064,0.65301,334.807
3.775,163.96,326.93,355.16,151.36,0.757,4.109,1.1552,0.8118,0.3956,0.2727,0.318,0.0965,0.296612,344.868
1.469,113.01,309.89,371.38,155.84,0.774,6.442,0.4242,0.6565,0.6246,0.5128,0.7319,0.177,0.032166,332.499
6.31,122.29,297.75,356.72,160.39,0.55,2.669,0.5183,0.1281,0.963,0.8046,0.7013,0.0755,0.526123,326.04
4.134,162.89,320.58,352.63,170.35,0.731,12.811,0.6615,0.3383,0.8315,0.286,0.681,0.1297,0.025384,351.998
5.949,123.15,295.02,366.47,175.26,0.473,2.918,0.9836,0.9281,0.4636,0.5906,0.8683,0.1714,0.277727,318.194
3.255,137.19,306.73,382.27,155.98,0.719,7.66,0.3807,0.2246,0.7375,0.8343,0.4275,0.0798,0.467802,323.262
6.91,102.31,315.13,393.34,157.4,0.474,2.849,0.5002,0.3722,0.1281,0.4048,0.1835,0.1238,0.004135,352.898
4.744,168.94,317.67,390.52,174.7,0.604,1.163,0.7291,0.4321,0.5121,0.8589,0.7548,0.1571,0.241061,334.992
7.605,157.75,319.32,364.73,154.45,0.534,12.067,0.3673,0.4394,0.2791,0.1101,0.5666,0.1987,0.19112,347.187
1.552,144.41,297.74,352.3,157.84,0.746,8.582,0.6174,0.6129,0.1612,0.195,0.8998,0.0592,0.720242,305.507
4.6,104.25,329.27,370.13,171.98,0.333,1.633,0.8531,0.9431,0.4263,0.5264,0.3716,0.0844,0.176591,344.313
6.365,105.24,297.14,365.74,154.98,0.774,13.447,0.9953,0.2407,0.131,0.4989,0.7993,0.1216,0.513263,342.397
5.201,138.15,293.84,368.56,174.84,0.531,6.192,0.7508,0.1215,0.699,0.886,0.7881,0.0626,0.592403,313.734
1.162,119.95,316.56,377.95,164.72,0.541,6.678,0.7035,0.1975,0.4562,0.2144,0.8867,0.1519,0.185561,321.514
7.806,143.6,326.4,351.52,163.43,0.714,7.676,0.5986,0.8869,0.5311,0.8926,0.8873,0.2172,0.12691,369.969
3.088,141.87,312.38,368.54,154.06,0.633,3.757,0.6316,0.6458,0.1464,0.7816,0.8935,0.1667,0.576591,326.82
2.745,158.71,313.82,377.93,170.39,0.777,8.486,0.7858,0.2859,0.1398,0.2782,0.8312,0.2353,0.478167,328.566
4.4,119.7,311.54,371.55,176.52,0.573,4.125,0.6565,0.8159,0.5834,0.394,0.3087,0.1574,0.253481,333.393
4.795,140.45,291.71,383.36,170.76,0.579,12.622,0.5856,0.8614,0.985,0.1958,0.4531,0.1573,0.725874,312.351
6.364,154.42,317.25,359.31,159.51,0.786,12.479,0.861,0.8465,0.0963,0.827,0.8764,0.2144,0.608996,349.118
3.753,134.35,304.33,357.69,170.96,0.763,7.418,1.197,0.9189,0.2857,0.4085,0.419,0.2421,0.278304,325.994
4.08,158.15,327.43,365.39,165.3,0.404,8.211,0.564,0.2522,0.8695,0.131,0.8346,0.2291,0.015909,347.213
4.745,109.19,297.47,355.09,175.61,0.453,14.897,0.4081,0.755,0.0723,0.562,0.7052,0.0829,0.437893,316.705
3.761,151.37,302.08,361.81,163.79,0.613,12.033,0.4326,0.4605,0.8759,0.3063,0.7929,0.249,0.030689,335.73
7.402,166.01,310.19,354.35,157.12,0.77,1.412,0.8462,0.842,0.5243,0.4075,0.7059,0.1208,0.221781,343.924
6.959,123.23,309.09,370.1,153.04,0.582,3.003,0.8012,0.7285,0.4083,0.4756,0.4054,0.1167,0.063956,341.598
4.185,125.64,306.01,385.57,158.43,0.666,9.143,0.3961,0.7764,0.3097,0.161,0.3182,0.1938,0.378895,328.945
1.001,105.85,302.58,364.33,166.91,0.347,5.889,0.6691,0.6562,0.2971,0.4914,0.6626,0.1473,0.160738,306.76
7.307,144.9,295.89,350.19,155.1,0.561,12.157,1.0688,0.1774,0.3058,0.3309,0.17,0.0677,0.041978,323.266
1.87,138.67,322.84,377.85,151.19,0.374,9.795,0.7301,0.545,0.8848,0.6698,0.2477,0.2169,0.421414,328.895
2.712,102.82,307.95,384.6,163.47,0.43,14.865,1.0036,0.9847,0.7238,0.3048,0.1239,0.2229,0.822139,319.057
2.067,152.65,312.92,369.57,160.42,0.383,0.687,0.3417,0.9374,0.6697,0.8553,0.3269,0.219,0.124239,318.989
2.259,158.05,311.86,364.85,162.61,0.383,6.857,0.7422,0.0432,0.7987,0.6939,0.3499,0.1596,0.624987,316.477
6.62,163.5,313.02,374.53,163.62,0.796,6.409,1.0417,0.1648,0.2571,0.1957,0.8147,0.109,0.311885,346.667
5.057,138.2,318.19,355.06,172.98,0.449,6.796,0.8418,0.1317,0.618,0.2119,0.7092,0.221,0.014733,343.468
7.693,131.68,315.18,382.2,178.83,0.583,13.336,0.4029,0.726,0.4601,0.3874,0.6488,0.2296,0.150214,356.194
2.62,161.33,300.96,386.66,157.87,0.31,6.387,1.0962,0.8178,0.7824,0.1218,0.7376,0.2337,0.486373,305.836
4.399,127.91,312.15,385.23,178.27,0.703,12.047,0.4667,0.2135,0.3093,0.1392,0.6104,0.1851,0.09621,344.339
7.842,145.88,299.78,366.43,156.85,0.64,9.673,0.9408,0.5059,0.6432,0.675,0.3097,0.1571,0.139803,335.93
6.785,143.08,313.55,392.14,172.65,0.414,7.572,0.3652,0.8407,0.8822,0.3618,0.8658,0.0506,0.229581,331.815
6.1,126.05,307.28,397.34,170.44,0.318,10.546,0.7846,0.7328,0.4022,0.2629,0.2088,0.0748,0.258181,322.278
2.323,106.08,291.58,364.85,151.57,0.437,3.822,0.5705,0.5422,0.0666,0.3945,0.1855,0.1473,0.035944,305.254
6.386,101.5,319.36,363.14,171.75,0.614,2.563,1.1788,0.5903,0.5161,0.8861,0.2913,0.1948,0.137995,358.905
3.433,129.98,300.99,385.21,177.03,0.308,14.524,1.1097,0.5084,0.346,0.8219,0.7851,0.0599,0.291145,307.807
4.714,133.68,326.81,385.41,177.91,0.338,6.177,0.6967,0.2975,0.6722,0.3037,0.4544,0.158,0.047504,341.084
5.264,157.59,301.22,375.52,170.56,0.505,4.904,1.0685,0.565,0.951,0.1611,0.417,0.1415,0.448339,319.11
5.266,129.01,329.86,396.17,173.6,0.388,4.347,0.5154,0.6889,0.4856,0.3626,0.3268,0.0787,0.131706,345.844
6.086,119.68,308.52,357.32,152.15,0.616,9.524,0.7684,0.8733,0.4662,0.1071,0.8678,0.1335,0.748314,339.877
5.632,132.35,291.06,373.87,154.84,0.387,14.948,1.0458,0.6363,0.6546,0.2774,0.717,0.1212,0.132696,306.868
1.479,116.66,293.05,351.76,157.87,0.797,13.476,0.916,0.7611,0.1035,0.5996,0.2324,0.2135,0.042703,332.706
4.201,106.4,293.28,352.63,165.94,0.518,6.307,0.7039,0.1601,0.2535,0.1718,0.3787,0.0892,0.015817,319.834
5.648,107.91,292.25,352.68,161.59,0.374,13.482,0.7819,0.4616,0.919,0.2377,0.3885,0.247,0.331502,313.169
3.072,122.34,300.71,374.59,169.71,0.337,7.128,0.5616,0.0093,0.6699,0.4452,0.2793,0.2305,0.342581,310.304
3.191,100.89,302.98,379.45,163.37,0.51,2.085,0.8072,0.2467,0.0134,0.672,0.2022,0.1963,0.216569,318.59
1.872,115.41,294.45,350.17,173.25,0.705,3.224,0.4223,0.7265,0.2046,0.5219,0.7704,0.21,0.361892,306.698
